Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
76,Ray,A quick review of machine learning algorithms,1082,2019, ieeexplore.ieee.org, 2019 International conference on machine learning …,https://ieeexplore.ieee.org/abstract/document/8862451/,180
49, Ayodele,Types of machine learning algorithms,1064,2010, books.google.com, New advances in machine learning,https://books.google.com/books?hl=en&lr=&id=XAqhDwAAQBAJ&oi=fnd&pg=PA19&dq=machine+learning&ots=r3HiaTFlIt&sig=Xwg7K86chUx-xkcT4YXLZozs6mU,71
84,Kubat,An introduction to machine learning,1022,2017, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-319-63913-0.pdf,128
51,Burkov,The hundred-page machine learning book,1018,0,papers.com,,https://order-papers.com/sites/default/files/tmp/webform/order_download/pdf-the-hundred-page-machine-learning-book-andriy-burkov-pdf-download-free-book-d835289.pdf,1
1,Alpaydin,Machine learning,1007,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=2nQJEAAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=fI-2S4-Fis&sig=pLB7SHIPZswwvXz4pJ_mTENtGfM,252
68,"Singh, N Thakur, A Sharma",A review of supervised machine learning algorithms,1003,2016, ieeexplore.ieee.org, 2016 3rd international …,https://ieeexplore.ieee.org/abstract/document/7724478/,111
46,Bonaccorso,Machine Learning Algorithms: Popular algorithms for data science and machine learning,996,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=_EZsDwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=cJQh1Tf70J&sig=f870xkXYbVUbtNtIxVG5Adc5hOY,142
57,"Sra, S Nowozin, SJ Wright",Optimization for machine learning,986,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=PNTxCwAAQBAJ&oi=fnd&pg=PR5&dq=machine+learning&ots=VZlpsZvt_S&sig=2wlARY3qdyMPpiVLdnAQvZfIQi8,70
19, Mitchell,The discipline of machine learning,982,2006, cs.cmu.edu,,https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf,52
33," Carbonell, RS Michalski, TM Mitchell",An overview of machine learning,975,1983, Elsevier, Machine learning,https://www.sciencedirect.com/science/article/pii/B9780080510545500054,23
85,"Lee, J Caverlee, S Webb",Uncovering social spammers: social honeypots+ machine learning,973,2010, dl.acm.org, Proceedings of the 33rd international ACM …,https://dl.acm.org/doi/abs/10.1145/1835449.1835522,65
14,Langley,Elements of machine learning,966,1996, books.google.com,,https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PR9&dq=machine+learning&ots=Q5mm_sx0Kp&sig=HHHC--OwjJ2WIA0xSaC6O9CYDqM,33
38," Greener, SM Kandathil, L Moffat…",A guide to machine learning for biologists,957,2022, nature.com, Nature reviews Molecular …,https://www.nature.com/articles/s41580-021-00407-0,319
39,Athey,The impact of machine learning on economics,954,2018, degruyter.com, The economics of artificial intelligence: An agenda,https://www.degruyter.com/document/doi/10.7208/9780226613475-023/pdf?licenseType=restricted,136
62, Murphy,Probabilistic machine learning: an introduction,885,2022, books.google.com,,https://books.google.com/books?hl=en&lr=&id=wrZNEAAAQBAJ&oi=fnd&pg=PR27&dq=machine+learning&ots=LanbMzfpPh&sig=Ll_AE7lzpnCgPB5VafQWOZrYywM,295
78,"Burkart, MF Huber",A survey on the explainability of supervised machine learning,869,2021, jair.org, Journal of Artificial Intelligence Research,https://www.jair.org/index.php/jair/article/view/12228,217
88, Mitchell,Machine learning and data mining,850,1999, dl.acm.org, Communications of the ACM,https://dl.acm.org/doi/fullHtml/10.1145/319382.319388,33
36,Surden,Machine learning and law: An overview,828,2021, elgaronline.com, Research Handbook on Big Data Law,https://www.elgaronline.com/abstract/edcoll/9781788972819/9781788972819.00014.xml,207
18,"Alzubi, A Nayyar, A Kumar",Machine learning from theory to algorithms: an overview,805,2018, iopscience.iop.org, Journal of physics: conference …,https://iopscience.iop.org/article/10.1088/1742-6596/1142/1/012012/meta,115
25," Tarca, VJ Carey, X Chen, R Romero…",Machine learning and its applications to biology,784,2007, journals.plos.org, PLoS computational …,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116,44
90,"Wang, RM Summers",Machine learning and radiology,783,2012, Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841512000333,60
43,"Smola, SVN Vishwanathan",Introduction to machine learning,765,2008, academia.edu, Cambridge University  UK,https://www.academia.edu/download/63588567/An_Introduction_to_Machine_Learning_-_Machine_Learning_Summer20200610-33267-6wsump.pdf,45
66," Deisenroth, AA Faisal, CS Ong",Mathematics for machine learning,756,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=pFjPDwAAQBAJ&oi=fnd&pg=PR9&dq=machine+learning&ots=VMhm5FNbBa&sig=Hlg2-AXKgCpUP_rY4wcyL9qquc8,151
91," Shinde, S Shah",A review of machine learning and deep learning applications,756,2018, ieeexplore.ieee.org, 2018 Fourth international conference on …,https://ieeexplore.ieee.org/abstract/document/8697857/,108
95,"Sun, Z Cao, H Zhu, J Zhao",A survey of optimization methods from a machine learning perspective,737,2019, ieeexplore.ieee.org, IEEE transactions on cybernetics,https://ieeexplore.ieee.org/abstract/document/8903465/,123
63,"Mohammed, MB Khan, EBM Bashier",Machine learning: algorithms and applications,737,2016, taylorfrancis.com,,https://www.taylorfrancis.com/books/mono/10.1201/9781315371658/machine-learning-mohssen-mohammed-muhammad-badruddin-khan-eihab-bashier-mohammed-bashier,82
87, De Prado,Advances in financial machine learning,678,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=oU9KDwAAQBAJ&oi=fnd&pg=PR21&dq=machine+learning&ots=7VFDVYAF8u&sig=RIE1EhDwUQS0iIttOqM3nTscUIA,97
44,"Wei, X Chu, XY Sun, K Xu, HX Deng, J Chen, Z Wei…",Machine learning in materials science,623,2019, Wiley Online Library, InfoMat,https://onlinelibrary.wiley.com/doi/abs/10.1002/inf2.12028,104
56,Nasteski,An overview of the supervised machine learning methods,601,2017, researchgate.net, Horizons. b,https://www.researchgate.net/profile/Vladimir-Nasteski/publication/328146111_An_overview_of_the_supervised_machine_learning_methods/links/5c1025194585157ac1bba147/An-overview-of-the-supervised-machine-learning-methods.pdf,75
8," Shavlik, TG Dietterich",Readings in machine learning,565,1990, books.google.com,,https://books.google.com/books?hl=en&lr=&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=machine+learning&ots=TihdifaKn8&sig=iITEODwVuQADrKkQATXgiVmiYWY,16
6,"Bi, KE Goodman, J Kaminsky…",What is machine learning? A primer for the epidemiologist,521,2019, academic.oup.com, American journal of …,https://academic.oup.com/aje/article-abstract/188/12/2222/5567515,87
23, Natarajan,Machine learning: A theoretical approach,515,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=cnyjBQAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=5e4xLvhWWs&sig=iKnatZATwzXeHWaEQGj9SyZc_0o,47
64,"Jiang, JL Gradus, AJ Rosellini",Supervised machine learning: a brief primer,504,2020, Elsevier, Behavior therapy,https://www.sciencedirect.com/science/article/pii/S0005789420300678,101
53,"Baştanlar, M Özuysal",Introduction to machine learning,496,2014, Springer, miRNomics: MicroRNA biology and …,https://link.springer.com/protocol/10.1007/978-1-62703-748-8_7,45
40,Dangeti,Statistics for machine learning,470,2017, books.google.com,,https://books.google.com/books?hl=en&lr=&id=C-dDDwAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=j34r1pv3Xw&sig=1A9TLVTRJ8xxqYDBSnHjcwTS2KE,59
20," Mitchell, JG Carbonell, RS Michalski",Machine learning: a guide to current research,445,1986, books.google.com,,https://books.google.com/books?hl=en&lr=&id=I5GcpyPx3RwC&oi=fnd&pg=PR13&dq=machine+learning&ots=ocs_IpvxYj&sig=UDqqDhXQS5UqSFaB33e_U7CflC0,11
41,"Ribeiro, K Grolinger…",Mlaas: Machine learning as a service,445,2015, ieeexplore.ieee.org, … on machine learning and …,https://ieeexplore.ieee.org/abstract/document/7424435/,44
21, Mitchell,Does machine learning really work?,425,1997, ojs.aaai.org, AI magazine,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/1303,15
47,Wagstaff,Machine learning that matters,400,2012, arxiv.org, arXiv preprint arXiv:1206.4656,https://arxiv.org/abs/1206.4656,31
99,"Paleyes, RG Urma, ND Lawrence",Challenges in deploying machine learning: a survey of case studies,393,2022, dl.acm.org, ACM computing surveys,https://dl.acm.org/doi/abs/10.1145/3533378,131
89, Kearns,The computational complexity of machine learning,390,1990, books.google.com,,https://books.google.com/books?hl=en&lr=&id=y5Txq1AkJoMC&oi=fnd&pg=PA1&dq=machine+learning&ots=_RGAD0iBMm&sig=1CidG3QKcswaEoGQW-PzfE1V1Rs,11
86,"Rebala, A Ravi, S Churiwala",An introduction to machine learning,380,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=u8OWDwAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=hvjGR__BLT&sig=lFTAro0bttOA7li5AJe4NYf412c,63
75,"Rogers, M Girolami",A first course in machine learning,364,2016, taylorfrancis.com,,https://www.taylorfrancis.com/books/mono/10.1201/9781315382159/first-course-machine-learning-mark-girolami-simon-rogers,40
69,Blum,On-line algorithms in machine learning,351,2005, Springer, Online algorithms: the state of the art,https://link.springer.com/content/pdf/10.1007/BFb0029575.pdf,18
27,"Provost, R Kohavi",On applied research in machine learning,350,1998, ai.stanford.edu,,https://ai.stanford.edu/~ronnyk/editorial.pdf,13
82,"Morgan, R Jacobs",Opportunities and challenges for machine learning in materials science,299,2020, annualreviews.org, Annual Review of Materials Research,https://www.annualreviews.org/content/journals/10.1146/annurev-matsci-070218-010015,60
26, Bishop,Model-based machine learning,295,2013, royalsocietypublishing.org, … Transactions of the Royal Society A …,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2012.0222,25
29,Kodratoff,Introduction to machine learning,290,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=AQyjBQAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=XqqK2wIbDO&sig=45W1HOYyXa6hWSgcwGcSdO2iWz4,26
30,"Angra, S Ahuja",Machine learning and its applications: A review,273,2017, ieeexplore.ieee.org, 2017 international conference on big data …,https://ieeexplore.ieee.org/abstract/document/8070809/,34
60,"Brink, J Richards, M Fetherolf",Real-world machine learning,268,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=zTczEAAAQBAJ&oi=fnd&pg=PT13&dq=machine+learning&ots=LUAssiHIkf&sig=TYB7rl-KHefydI-C3RVu013l8gA,30
61,"Vartak, H Subramanyam, WE Lee…",ModelDB: a system for machine learning model management,264,2016, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/2939502.2939516,29
7, Dietterich,Machine learning,256,1990, Citeseer, Annual review of computer science,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=417f55320080fea71d491a18318dad6572b2fa8c,7
100,Kassambara,Machine learning essentials: Practical guide in R,251,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=745QDwAAQBAJ&oi=fnd&pg=PP2&dq=machine+learning&ots=5FKnwNY5Np&sig=0NI7O_JGOPjFigBWySBTwiw_75c,36
55,"Wang, C Ma, L Zhou",A brief review of machine learning and its application,250,2009, ieeexplore.ieee.org, 2009 international conference on …,https://ieeexplore.ieee.org/abstract/document/5362936/,16
92," Mueller, L Massaron",Machine learning for dummies,247,2021, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Eb8TEAAAQBAJ&oi=fnd&pg=PR11&dq=machine+learning&ots=vGzGlM0FEu&sig=xqiZi-pUcxvUq31FLmDblPRgv0c,62
81," Moosavi, KM Jablonka, B Smit",The role of machine learning in the understanding and design of materials,244,2020, ACS Publications, Journal of the American …,https://pubs.acs.org/doi/abs/10.1021/jacs.0c09105,49
71,"Gong, P Zhong, W Hu",Diversity in machine learning,219,2019, ieeexplore.ieee.org, Ieee Access,https://ieeexplore.ieee.org/abstract/document/8717641/,36
93,"Schelter, F Biessmann, T Januschowski, D Salinas…",On challenges in machine learning model management,203,2015, amazon.science,,https://www.amazon.science/publications/on-challenges-in-machine-learning-model-management,20
54," Wilson, NV Sahinidis",The ALAMO approach to machine learning,200,2017, Elsevier, Computers & Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S0098135417300662,25
15,Gollapudi,Practical machine learning,199,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=WmsdDAAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=1Bw1BtRn5Y&sig=KhBeQl5wdfg-fWvuuahXgNiOo_w,22
96,Daumé,A course in machine learning,179,2017, academia.edu,,https://www.academia.edu/download/37276995/Course_in_Machine_Learning.pdf,22
50,"Graves, V Nagisetty, V Ganesh",Amnesiac machine learning,173,2021, ojs.aaai.org, … of the AAAI Conference on Artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/17371,43
58,"Singh, PK Bhatia, O Sangwan",A review of studies on machine learning techniques,172,2007, books.google.com, International Journal of …,https://books.google.com/books?hl=en&lr=&id=7xRB3hRaR2sC&oi=fnd&pg=PA70&dq=machine+learning&ots=J2n-udE29F&sig=cgc_jO091loQNQHt0OWSHINxmnw,10
34, Zhou,Learnware: on the future of machine learning.,165,2016, lamda.nju.edu.cn, Frontiers Comput. Sci.,https://www.lamda.nju.edu.cn/publication/fcs16learnware.pdf,18
77, Lee,Python machine learning,158,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=9FOQDwAAQBAJ&oi=fnd&pg=PP2&dq=machine+learning&ots=p-mlwtXXyy&sig=z7kKQu_8BfQBHQe5QmZ7aUPUkBU,26
72,"Bzdok, M Krzywinski, N Altman",Machine learning: a primer,155,2017, ncbi.nlm.nih.gov, Nature methods,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905345/,19
17, Ayodele,Machine learning overview,151,2010, books.google.com, New Advances in Machine Learning,https://books.google.com/books?hl=en&lr=&id=XAqhDwAAQBAJ&oi=fnd&pg=PA9&dq=machine+learning&ots=r3HiaTFlIq&sig=VVYeQqJqIfRJMTNkBgoRDfof9ho,10
52,"Paluszek, S Thomas",MATLAB machine learning,146,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=3kXODQAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=ZNIqXIdglJ&sig=e_gnsoZaWINbZ-c6nSJnVweQUBE,16
31,Jo,Machine learning foundations,142,2021, Springer, Machine Learning Foundations. Springer Nature …,https://link.springer.com/content/pdf/10.1007/978-3-030-65900-4.pdf,36
45," Carbonell, RS Michalski, TM Mitchell",Machine learning: A historical and methodological analysis,139,1983, ojs.aaai.org, AI Magazine,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/406,3
37,"Kubat, I Bratko, RS Michalski",A review of machine learning methods,121,1998, Citeseer, Machine learning and data mining …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=e2f9cf5e6c13fe4244b0359c852747c1393c30ca,4
79, Ayyadevara,Pro machine learning algorithms,117,2018, Springer, Apress: Berkeley  CA  USA,https://link.springer.com/content/pdf/10.1007/978-1-4842-3564-5.pdf,17
42,Jung,Machine learning: the basics,117,2022, books.google.com,,https://books.google.com/books?hl=en&lr=&id=1IBaEAAAQBAJ&oi=fnd&pg=PR8&dq=machine+learning&ots=XT8IzjuFS-&sig=ILJ3M-ie8PFa1CPAimsSJWJydKs,39
59, Zhou,Open-environment machine learning,106,2022, academic.oup.com, National Science Review,https://academic.oup.com/nsr/article-pdf/doi/10.1093/nsr/nwac123/45957092/nwac123.pdf,35
94," Angelov, X Gu",Empirical approach to machine learning,99,2019, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-030-02384-3.pdf,16
